"ID","languages.1"
"code","eng"
"relation_t","Kukhulisa Buhlobo Bami Nemntfwanami Losatfombile"
"relation_c","Kukhulisa Buhlobo Bami Nemntfwanami"
"develop_t","Kucondzisisa Kukhula Kwemntfwanami Losatfombile"
"develop_c","Kwesekela Kukhula Kwemntfwanami"
"learning_t","Kwesekela Imfundvo Yemntfwanami Losatfombile"
"learning_c","Kulungiselela Umntfwanami Abe Nemphumelelo Esikolweni"
"structure_t","Kwakha Tinsika Temntfwanami Losatfombile"
"structure_c","Kunika umntwanami Tinsika"
"behave_t","Condzisa Kutiphatsa Kwemntfwanami Losatfombile"
"behave_c","Condzisa Kutiphatsa Kwemntfwanami"
"wellbeing_t","Khatsalela Kuphila Kahle Kwemntfwanami Losatfombile"
"safety_t","Gcina Umntfwanami Losatfombile Aphephile"
"safety_c","Gcina Umntfwanami Aphephile futsi Aphilile"
"ipv","Kuba Nebuhlobo Lobuhle Nemlingani Wami"
"budget","Kubhajetha Kwemndeni Netindlela Tekonga Imali"
