"ID","languages.1"
"code","eng"
"take_a_pause","Phumula kancane"
"one_on_one_yc",""
"kind_to_myself_yc","Ngibe Nemusa Kimi"
"give_praise_yc","Dvumisa"
"talk_feelings_yc","Khuluma ngemiva"
"spirituality_yc",""
"language_yc",""
"reading1_4to6_yc",""
"reading2_4to6_yc",""
"maths1_4to6_yc",""
"maths2_4to6_yc",""
"reading_2to3_yc",""
"maths_2to3_yc",""
"engage_school_3to6_yc",""
"play_yc",""
"learn_experience_yc",""
"toddler_change_yc",""
"young_child_change_yc",""
"child_change_yc",""
"manage_my_stress_yc","Kumelana neKukhatsateka Kwami"
"keeping_it_positive_yc",""
"create_routines_yc",""
"create_family_rules_yc",""
"know_role_yc",""
"redirect_yc",""
"ignore_demanding_yc",""
"managing_anger_yc",""
"teach_consequences_yc",""
"solve_problems_yc",""
"safe_touch_2to5_yc_m",""
"safe_touch_2to5_yc_f",""
"safe_touch_6to9_yc",""
"com_safety_2to4_yc","Kuphepha Emmangweni"
"com_safety_5to9_yc","Kuphepha Emmangweni"
"crises_2to6_yc","Kubhekana Netinkinga"
"crises_7to9_yc","Kubhekana Netinkinga"
"online_safety_yc","Bani Nelwati ngeTimiso Letisisekelo Sekuphepha Ku-Internet"
"habits_trust_online_yc","Kwakha Imikhuba Nekwetsembana Ku-intanethi"
"nutrition_health_yc",""
"ipv_equals",""
"ipv_supportive",""
"ipv_sharing","Yabelanani Imisebenti Yemndeni Lekubhekeke Kutsi Niyente"
"ipv_conflicts",""
"ipv_listen",""
"budget_needs_yc","Kucondza Tidzingo Nalokufunako"
"budget_expenses_yc","Khuluma Ngetindleko Tenyanga Nenyanga"
"budget_monthly_yc","Yenta Ibhajethi Yenyanga Nenyanga"
"budget_savings_yc","Yenta luhlelo lwekonga"
